ecoregion,elevation,slope,aspect,n_trend_unfitted_count,n_trend_fitted_count,n_insig_trend_count,n_sig_trend_count,positive_sig_trend_count,negative_sig_trend_count,positive_sig_trend_mean,negative_sig_trend_mean,all_sig_trend_mean,percent_sig_pixels,trend_asymmetry_ratio,lsp_change
40403,1,3,2.0,5,198,193,10,5,5,0.7544709344068476,-1.5245733240683386,-0.38505119483074546,5.05050505050505,1.0,0
40403,1,4,1.0,0,58,49,9,0,9,,-1.4932997152202594,-1.4932997152202594,15.517241379310345,0.0,1
40403,1,4,2.0,0,34,32,2,2,0,1.0947033110119047,,1.0947033110119047,5.88235294117647,inf,1
40403,2,1,1.0,4,61,63,2,0,2,,-0.8221392619335438,-0.8221392619335438,3.278688524590164,0.0,0
40403,2,1,2.0,2,80,72,10,5,5,2.124866350531912,-1.0043285452094592,0.5602689026612262,12.5,1.0,0
40403,2,2,1.0,83,3244,3117,210,62,148,1.5220937215650399,-1.2593973117199289,-0.4381951971310332,6.473489519112208,0.4189189189189189,1
40403,2,2,2.0,71,3292,3218,145,50,95,1.5287202529522077,-1.2311946999728676,-0.27949988861939334,4.404617253948967,0.5263157894736842,0
40403,2,3,1.0,365,13786,13067,1084,251,833,1.2233246222239353,-1.2226687082666732,-0.6562994038818551,7.8630494704772955,0.3013205282112845,1
40403,2,3,2.0,258,12677,12446,489,126,363,1.0552742937288049,-1.10747614159793,-0.5502030232928816,3.857379506192317,0.34710743801652894,0
40403,2,4,1.0,255,8745,8425,575,222,353,1.1509038747903166,-1.1990426556269012,-0.29175895170929694,6.575185820468839,0.6288951841359773,0
40403,2,4,2.0,174,8991,8908,257,114,143,0.9588094289894251,-1.0553574326301096,-0.16191376638642477,2.8584139695250808,0.7972027972027972,0
40403,3,1,1.0,18,30,46,2,0,2,,-1.7164627296337185,-1.7164627296337185,6.666666666666667,0.0,1
40403,3,1,2.0,44,31,73,2,1,1,1.4226034326491013,-2.0908203125,-0.33410843992544936,6.451612903225806,1.0,0
40403,3,2,1.0,207,1619,1695,131,86,45,1.5132239522703617,-1.2087291000020306,0.578201911413433,8.091414453366276,1.9111111111111112,0
40403,3,2,2.0,229,1368,1486,111,59,52,1.4720669811843499,-1.3211417290794005,0.16353677457430468,8.114035087719298,1.1346153846153846,0
40403,3,3,1.0,521,8420,8329,612,333,279,1.1610755092079126,-1.1148519656609972,0.12352033684120362,7.268408551068884,1.1935483870967742,0
40403,3,3,2.0,406,5018,5125,299,123,176,1.265602323569968,-1.2412112465369545,-0.20998024612507657,5.958549222797927,0.6988636363636364,0
40403,3,4,1.0,413,5626,5700,339,206,133,1.176292589892348,-1.1010191108962295,0.2828340170165933,6.025595449697831,1.5488721804511278,0
40403,3,4,2.0,212,4584,4593,203,119,84,1.287709176078749,-1.2014769771987823,0.2577011126535633,4.428446771378709,1.4166666666666667,0
40403,4,1,1.0,5,2,6,1,0,1,,-1.646284905032835,-1.646284905032835,50.0,0.0,0
40403,4,1,2.0,17,4,21,0,0,0,,,,0.0,,0
40403,4,2,1.0,641,237,855,23,18,5,1.078218085723469,-1.3089577411456588,0.5592668190127893,9.70464135021097,3.6,1
40403,4,2,2.0,498,300,772,26,20,6,1.487941752274176,-1.8209347924245078,0.7243548573437104,8.666666666666668,3.3333333333333335,1
40403,4,3,1.0,767,788,1502,53,34,19,1.603208324551235,-1.8041892373478758,0.3816884438704216,6.725888324873096,1.7894736842105263,0
40403,4,3,2.0,871,652,1498,25,19,6,1.6182959966975634,-1.6791897312519566,0.8268994219896786,3.834355828220859,3.1666666666666665,0
40403,4,4,1.0,182,454,606,30,21,9,1.9795045820933073,-1.6106472317624814,0.9024590379365705,6.607929515418502,2.3333333333333335,1
40403,4,4,2.0,302,675,932,45,27,18,1.396301050926108,-1.8747107310754858,0.08789633812547043,6.666666666666667,1.5,0
40501,1,1,1.0,1,0,1,0,0,0,,,,,,0
40501,1,2,1.0,1,22,15,8,0,8,,-1.154666503499307,-1.154666503499307,36.36363636363637,0.0,1
40501,1,2,2.0,1,29,27,3,0,3,,-0.9982882830052594,-0.9982882830052594,10.344827586206897,0.0,1
40501,1,3,1.0,0,17,12,5,0,5,,-1.0174314068766872,-1.0174314068766872,29.411764705882355,0.0,1
40501,1,3,2.0,1,22,19,4,0,4,,-1.1590377138934445,-1.1590377138934445,18.181818181818183,0.0,1
40501,1,4,1.0,0,4,2,2,0,2,,-1.777555677625868,-1.777555677625868,50.0,0.0,0
40501,1,4,2.0,1,3,4,0,0,0,,,,0.0,,0
40501,2,1,2.0,0,4,4,0,0,0,,,,0.0,,0
40501,2,2,1.0,21,173,179,15,1,14,3.1302083333333335,-1.2161855350377258,-0.9264259438129884,8.670520231213873,0.07142857142857142,1
40501,2,2,2.0,17,264,256,25,3,22,2.068636293764468,-1.374669763821502,-0.9614730369111857,9.469696969696969,0.13636363636363635,1
40501,2,3,1.0,120,1085,1043,162,5,157,1.7850829007838371,-1.241237365893726,-1.147832419391332,14.930875576036867,0.03184713375796178,1
40501,2,3,2.0,127,1096,1094,129,3,126,1.1678330180832621,-1.4955706231019141,-1.4336310035394682,11.77007299270073,0.023809523809523808,1
40501,2,4,1.0,69,375,401,43,3,40,0.7796319826684815,-1.2652326394957965,-1.122567665856428,11.466666666666667,0.075,1
40501,2,4,2.0,104,1028,1010,122,2,120,1.6597469445430872,-1.4980220485328422,-1.4462553437283185,11.86770428015564,0.016666666666666666,1
40501,3,1,1.0,7,14,20,1,0,1,,-1.4079996744791665,-1.4079996744791665,7.142857142857142,0.0,1
40501,3,1,2.0,2,20,22,0,0,0,,,,0.0,,0
40501,3,2,1.0,190,1339,1486,43,19,24,1.5040917664039493,-1.3471893439488865,-0.08732094635112188,3.2113517550410755,0.7916666666666666,0
40501,3,2,2.0,269,2251,2375,145,66,79,1.8353658291889634,-1.5818009698567423,-0.026400909601455365,6.441581519324744,0.8354430379746836,0
40501,3,3,1.0,1474,9159,10148,485,198,287,1.807715591223811,-1.4348724826706365,-0.11109425868898574,5.295337918986789,0.6898954703832753,0
40501,3,3,2.0,1540,10356,11294,602,203,399,1.9299248894520933,-1.8150641115370465,-0.5522189832965227,5.8130552336809584,0.5087719298245614,0
40501,3,4,1.0,901,4105,4786,220,86,134,1.768318500921887,-1.5045526074575595,-0.2251575378183213,5.35931790499391,0.6417910447761194,0
40501,3,4,2.0,1212,8787,9501,498,168,330,1.904149069055513,-1.8689081962681713,-0.5960696007372894,5.667463298053943,0.509090909090909,0
40501,4,1,1.0,7,25,31,1,1,0,1.820867919921875,,1.820867919921875,4.0,inf,0
40501,4,1,2.0,1,27,28,0,0,0,,,,0.0,,0
40501,4,2,1.0,215,1572,1664,123,74,49,2.669208310648113,-1.5700143520710106,0.9804122905404947,7.8244274809160315,1.510204081632653,0
40501,4,2,2.0,287,1877,2052,112,70,42,2.834766250524928,-2.480061113289325,0.841705989094583,5.966968566862014,1.6666666666666667,0
40501,4,3,1.0,1348,8413,9234,527,322,205,2.345621466090607,-1.9613176936526868,0.670246650630692,6.26411506002615,1.5707317073170732,0
40501,4,3,2.0,1550,8713,9777,486,292,194,3.034786017670902,-2.593010441097092,0.7882993654054885,5.577872145070584,1.5051546391752577,0
40501,4,4,1.0,1055,4934,5658,331,234,97,2.3223777653367845,-2.0005647224131717,1.0555335921895164,6.7085528982569915,2.4123711340206184,1
40501,4,4,2.0,1283,8701,9526,458,290,168,2.6104369824484923,-2.4237114470877015,0.763849785588054,5.26376278588668,1.7261904761904763,0
40501,5,1,1.0,3,3,6,0,0,0,,,,0.0,,0
40501,5,1,2.0,1,1,2,0,0,0,,,,0.0,,0
40501,5,2,1.0,78,129,196,11,11,0,3.071389848479046,,3.071389848479046,8.527131782945736,inf,1
40501,5,2,2.0,115,167,278,4,2,2,3.9606928391890093,-2.083307139078776,0.9386928500551166,2.3952095808383236,1.0,0
40501,5,3,1.0,503,498,971,30,26,4,3.3032969453405974,-3.1688614964926503,2.4403424864294982,6.024096385542169,6.5,1
40501,5,3,2.0,576,656,1195,37,31,6,3.2378945825187255,-4.520419754158197,1.9797895549494946,5.640243902439025,5.166666666666667,1
40501,5,4,1.0,337,250,571,16,13,3,3.114909660500409,-3.221322990793206,1.926866038382856,6.4,4.333333333333333,1
40501,5,4,2.0,740,616,1305,51,36,15,2.885686405292972,-2.409095936741667,1.3283974811651371,8.279220779220779,2.4,1
40502,2,1,1.0,0,3,3,0,0,0,,,,0.0,,0
40502,2,1,2.0,0,5,5,0,0,0,,,,0.0,,0
40502,2,2,1.0,11,223,220,14,9,5,1.0092705698100697,-1.6915496438208695,0.044691922084734256,6.278026905829597,1.8,0
40502,2,2,2.0,16,492,488,20,11,9,1.0165051672203675,-1.446843881396661,-0.0920019046572954,4.0650406504065035,1.2222222222222223,0
40502,2,3,1.0,33,885,867,51,27,24,1.4351314174511955,-1.2543566589173558,0.16948996974834782,5.762711864406779,1.125,0
40502,2,3,2.0,102,2450,2467,85,28,57,1.2176032693811496,-1.3283520108610627,-0.48968438913421614,3.4693877551020407,0.49122807017543857,0
40502,2,4,1.0,11,353,351,13,7,6,1.3060829880917433,-1.215582948487809,0.14223717120887297,3.6827195467422094,1.1666666666666667,0
40502,2,4,2.0,64,1386,1412,38,11,27,1.22145245076739,-1.2094508462621234,-0.5057683129114748,2.7417027417027415,0.4074074074074074,0
40502,3,1,1.0,138,185,310,13,11,2,1.7598134779002044,-1.6849634806315104,1.2298477919722481,7.027027027027027,5.5,1
40502,3,1,2.0,22,170,176,16,12,4,1.5792052876445022,-1.1200574937296761,0.9043895923009576,9.411764705882353,3.0,1
40502,3,2,1.0,418,7931,7753,596,447,149,1.3311878111597708,-1.3738158846208994,0.6549368872146033,7.514815281805573,3.0,1
40502,3,2,2.0,570,8627,8635,562,410,152,1.3545929684716422,-1.5648213677473757,0.5650004789604488,6.51443143618871,2.6973684210526314,1
